2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
2	3	1
4	5	1
6	6	6
